회사명,sum_rlt
1018124925_3,0.0
1018124925_4,3.0
1018126734_1,3.0
1018126734_2,5.0
1018126734_3,5.0
1018126734_4,6.0
1018126767_1,2.0
1018126767_2,3.0
1018126767_3,7.0
1018126767_4,4.0
1018132686_1,3.0
1018133287_1,3.0
1018133287_2,3.0
1018133287_3,3.0
1018133287_4,8.0
1018135117_1,1.0
1018135117_2,3.0
1018135117_3,3.0
1018135117_4,2.0
1018135174_1,2.0
1018135174_2,3.0
1018135174_3,7.0
1018135174_4,5.0
1018135422_1,22.0
1018135742_1,5.0
1018135742_2,5.0
1018135742_3,3.0
1018135742_4,3.0
1018136659_1,16.0
1018136659_2,2.0
1018136659_3,3.0
1018136659_4,1.0
1018138303_1,1.0
1018138303_2,9.0
1018138303_3,1.0
1018138303_4,0.0
1018138657_1,5.0
1018138657_2,5.0
1018138657_3,10.0
1018138657_4,2.0
1018139184_1,13.0
1018139184_2,3.0
1018139184_3,5.0
1018139184_4,2.0
1018139656_1,5.0
1018139656_2,4.0
1018139656_3,3.0
1018139656_4,7.0
1018140003_1,2.0
1018140003_2,0.0
1018140003_3,1.0
1018140003_4,0.0
1018143015_1,6.0
1018143015_2,5.0
1018143015_3,7.0
1018143015_4,7.0
1018144519_1,2.0
1018144519_2,2.0
1018144519_3,5.0
1018144673_1,8.0
1018144673_2,5.0
1018144673_3,10.0
1018145105_1,9.0
1018145105_2,12.0
1018145105_3,18.0
1018145105_4,17.0
1018145105_5,16.0
1018145255_1,5.0
1018145255_2,5.0
1018145255_3,9.0
1018145255_4,8.0
1018145861_1,3.0
1018145861_2,2.0
1018146496_1,1.0
1018146496_2,1.0
1018146496_3,2.0
1018146496_4,3.0
1018147059_1,0.0
1018147059_2,0.0
1018147345_1,4.0
1018147345_2,5.0
1018147345_3,12.0
1018147345_4,12.0
1018147985_1,5.0
1018147985_2,4.0
1018147985_3,5.0
1018147985_4,2.0
1018148121_1,0.0
1018148121_2,4.0
1018148121_3,5.0
1018148121_4,3.0
1018149187_1,35.0
1018149187_2,26.0
1018149187_3,23.0
1018149187_4,10.0
1018149187_5,1.0
1018149853_1,13.0
1018149853_2,6.0
1018149853_3,6.0
1018149853_4,10.0
1018151140_1,3.0
1018151140_2,1.0
1018151140_3,2.0
1018151140_4,2.0
1018151437_1,0.0
1018151437_2,0.0
1018151437_3,0.0
1018151437_4,0.0
1018151742_1,2.0
1018151742_2,2.0
1018151742_3,2.0
1018151742_4,5.0
1018151795_1,14.0
1018151795_2,14.0
1018151795_3,18.0
1018151795_4,8.0
1018152722_1,1.0
1018152722_2,4.0
1018152722_3,4.0
1018152722_4,7.0
1018152794_1,12.0
1018153172_1,3.0
1018153172_2,0.0
1018153172_3,0.0
1018153172_4,0.0
1018154206_1,16.0
1018154491_1,5.0
1018154491_2,4.0
1018154491_3,13.0
1018154491_4,3.0
1018155791_1,14.0
1018155791_2,10.0
1018155791_3,11.0
1018156086_1,4.0
1018156086_2,8.0
1018156086_3,7.0
1018156086_4,3.0
1018156204_1,8.0
1018156204_2,7.0
1018156204_3,15.0
1018156204_4,17.0
1018156320_1,3.0
1018156320_2,7.0
1018156320_3,1.0
1018156562_1,2.0
1018156562_2,2.0
1018156562_3,10.0
1018156562_4,14.0
1018157125_1,13.0
1018157125_2,6.0
1018157125_3,8.0
1018157125_4,3.0
1018157557_1,18.0
1018157557_2,19.0
1018157557_3,21.0
1018157557_4,23.0
1018157765_1,4.0
1018157765_2,5.0
1018157765_3,5.0
1018157765_4,6.0
1018157765_5,6.0
1018159685_1,13.0
1018159685_2,15.0
1018159685_3,14.0
1018159685_4,27.0
1018160275_1,0.0
1018160275_2,0.0
1018160275_3,1.0
1018160275_4,2.0
1018161162_1,2.0
1018161162_2,1.0
1018161162_3,1.0
1018161162_4,1.0
1018161823_1,4.0
1018161823_2,3.0
1018161823_3,6.0
1018161823_4,4.0
1018163044_1,8.0
1018163044_2,8.0
1018163044_3,5.0
1018163044_4,10.0
1018163684_1,23.0
1018164820_1,3.0
1018164820_2,10.0
1018164820_3,0.0
1018164820_4,1.0
1018164892_1,13.0
1018164892_2,13.0
1018164892_3,13.0
1018165187_1,1.0
1018165187_2,1.0
1018165187_3,12.0
1018165187_4,8.0
1018165644_1,0.0
1018165644_2,5.0
1018165644_3,0.0
1018165644_4,2.0
1018165872_1,2.0
1018165872_2,1.0
1018165872_3,4.0
1018165872_4,1.0
1018167619_1,3.0
1018167619_2,2.0
1018167619_3,2.0
1018167619_4,2.0
1018170486_1,3.0
1018170486_2,2.0
1018170486_3,3.0
1018171092_1,1.0
1018171092_2,6.0
1018171092_3,5.0
1018171850_1,11.0
1018171850_2,10.0
1018171850_3,3.0
1018172432_1,6.0
1018172432_2,3.0
1018172432_3,2.0
1018172432_4,0.0
1018173159_1,7.0
1018173159_2,4.0
1018173159_3,4.0
1018173159_4,4.0
1018174236_1,3.0
1018174236_2,1.0
1018174236_3,0.0
1018176103_1,1.0
1018176103_2,9.0
1018176103_3,2.0
1018176103_4,26.0
1018177155_1,7.0
1018177155_2,7.0
1018177155_3,11.0
1018177155_4,11.0
1018177489_1,3.0
1018177489_2,4.0
1018177489_3,8.0
1018177489_4,6.0
1018177650_1,1.0
1018177650_2,0.0
1018177650_3,0.0
1018177650_4,0.0
1018178760_1,8.0
1018179639_1,13.0
1018179639_2,13.0
1018180719_1,2.0
1018180719_2,0.0
1018180719_3,2.0
1018181343_1,0.0
1018181343_2,2.0
1018181343_3,2.0
1018181343_4,2.0
1018181998_1,3.0
1018183360_1,18.0
1018183360_2,23.0
1018183360_3,13.0
1018184113_1,8.0
1018184113_2,8.0
1018184113_3,1.0
1018184113_4,3.0
1018184336_1,13.0
1018184336_2,13.0
1018184336_3,0.0
1018184336_4,18.0
1018184637_1,10.0
1018184637_2,10.0
1018184637_3,16.0
1018184637_4,11.0
1018184791_1,2.0
1018184791_2,2.0
1018184791_3,2.0
1018184791_4,0.0
1018186407_1,4.0
1018186407_2,5.0
1018186407_3,5.0
1018186407_4,1.0
1018187328_1,2.0
1018187328_2,1.0
1018187328_3,1.0
1018187328_4,2.0
1018187707_1,13.0
1018187707_2,13.0
1018187707_3,13.0
1018187973_1,6.0
1018187973_2,2.0
1018187973_3,4.0
1018187973_4,1.0
1018188778_1,5.0
1018188778_2,5.0
1018188778_3,1.0
1018188778_4,1.0
1018189006_1,12.0
1018189006_2,17.0
1018189006_3,12.0
1018189665_1,4.0
1018189665_2,5.0
1018189665_3,6.0
1018189665_4,3.0
1018189855_1,50.0
1018189855_2,49.0
1018189855_3,48.0
1018189855_4,36.0
1018190589_1,1.0
1018190589_2,2.0
1018190589_3,23.0
1018190589_4,16.0
1018194173_1,1.0
1018194173_2,10.0
1018194815_1,4.0
1018194815_2,4.0
1018196017_1,2.0
1018196017_2,2.0
1018196017_3,6.0
1018196017_4,3.0
1018197471_1,0.0
1018197471_2,3.0
1018197471_3,5.0
1018197471_4,7.0
1018197791_1,7.0
1018197791_2,13.0
1018197791_3,25.0
1018197791_4,30.0
1018198015_1,14.0
1018198015_2,3.0
1018198015_3,5.0
1018199824_1,20.0
1018199824_2,8.0
1018199824_3,8.0
1018199824_4,2.0
1018199858_1,2.0
1018199858_2,1.0
1018199858_3,1.0
1018199858_4,1.0
1018500881_1,4.0
1018500881_2,4.0
1018501385_1,3.0
1018501385_2,4.0
1018505208_1,13.0
1018507427_1,2.0
1018511302_1,1.0
1018511302_2,2.0
1018512257_1,7.0
1018513125_1,18.0
1018513125_2,17.0
1018513182_1,26.0
1018513182_2,3.0
1018515439_1,11.0
1018519911_1,9.0
1018523337_1,34.0
1018523472_1,40.0
1018525989_1,56.0
1018527385_1,17.0
1018527779_1,5.0
1018528934_1,1.0
1018535231_1,12.0
1018535231_2,10.0
1018535319_1,2.0
1018535930_1,15.0
1018536341_1,25.0
1018536341_2,28.0
1018537165_1,37.0
1018537433_1,8.0
1018538131_1,41.0
1018538785_1,3.0
1018539203_1,7.0
1018539329_1,50.0
1018539329_2,37.0
1018539334_1,50.0
1018539334_2,37.0
1018540239_1,33.0
1018541072_1,11.0
1018541086_1,11.0
1018541811_1,3.0
1018542275_1,19.0
1018543556_1,7.0
1018543556_2,2.0
1018545364_1,19.0
1018601005_1,16.0
1018601005_2,1.0
1018601005_3,34.0
1018601005_4,34.0
1018601723_1,9.0
1018601723_2,14.0
1018601723_3,16.0
1018601723_4,11.0
1018602042_1,9.0
1018602042_2,16.0
1018602042_3,16.0
1018602042_4,9.0
1018603420_1,0.0
1018603420_2,0.0
1018603420_3,5.0
1018603420_4,2.0
1018604394_1,4.0
1018604394_2,3.0
1018604394_3,0.0
1018604394_4,1.0
1018604394_5,1.0
1018604716_1,3.0
1018604716_2,5.0
1018604716_3,2.0
1018604716_4,0.0
1018605184_1,2.0
1018605184_2,4.0
1018605184_3,2.0
1018605184_4,0.0
1018605641_1,3.0
1018605641_2,3.0
1018605641_3,3.0
1018605641_4,3.0
1018606524_1,24.0
1018606524_2,12.0
1018608463_1,0.0
1018608463_2,1.0
1018608463_3,3.0
1018608463_4,1.0
1018608916_1,8.0
1018608916_2,2.0
1018608916_3,6.0
1018608916_4,6.0
1018610391_1,21.0
1018610601_1,10.0
1018610601_2,10.0
1018610601_3,10.0
1018610616_1,4.0
1018610616_2,3.0
1018610616_3,0.0
1018610616_4,16.0
1018611594_1,0.0
1018611594_2,4.0
1018611594_3,13.0
1018611594_4,13.0
1018612953_1,6.0
1018612953_2,4.0
1018612953_3,8.0
1018612953_4,12.0
1018613312_1,2.0
1018613312_2,0.0
1018613312_3,0.0
1018613312_4,4.0
1018613592_1,6.0
1018613592_2,2.0
1018613592_3,7.0
1018613592_4,6.0
1018613592_5,2.0
1018614117_1,7.0
1018614117_2,5.0
1018614757_1,3.0
1018614757_2,3.0
1018614757_3,1.0
1018614757_4,7.0
1018614887_1,5.0
1018614887_2,4.0
1018614887_3,5.0
1018614887_4,4.0
1018616129_1,4.0
1018616129_2,7.0
1018616129_3,3.0
1018616129_4,3.0
1018616677_1,2.0
1018616677_2,3.0
1018616677_3,1.0
1018616677_4,0.0
1018616681_1,4.0
1018617259_1,7.0
1018617259_2,6.0
1018617259_3,5.0
1018617259_4,25.0
1018618980_1,12.0
1018618980_2,21.0
1018618980_3,7.0
1018618980_4,7.0
1018619368_1,2.0
1018619368_2,3.0
1018619368_3,1.0
1018619368_4,0.0
1018619975_1,3.0
1018619975_2,14.0
1018619975_3,9.0
1018619975_4,7.0
1018622863_1,3.0
1018623111_1,1.0
1018623111_2,1.0
1018623111_3,3.0
1018623111_4,2.0
1018623203_1,20.0
1018623203_2,3.0
1018623407_1,5.0
1018623407_2,8.0
1018623407_3,6.0
1018623407_4,5.0
1018623746_1,6.0
1018623746_2,9.0
1018623746_3,9.0
1018623746_4,3.0
1018624712_1,1.0
1018624712_2,1.0
1018624712_3,0.0
1018624712_4,0.0
1018624901_1,10.0
1018624901_2,11.0
1018624901_3,16.0
1018624901_4,15.0
1018625818_1,3.0
1018625818_2,3.0
1018625818_3,4.0
1018625818_4,6.0
1018626350_1,5.0
1018626350_2,5.0
1018626350_3,6.0
1018626350_4,4.0
1018626646_1,2.0
1018626646_2,2.0
1018626646_3,2.0
1018626646_4,5.0
1018626796_1,23.0
1018626796_2,8.0
1018626796_3,6.0
1018626796_4,9.0
1018626971_1,1.0
1018626971_2,1.0
1018626971_3,1.0
1018626971_4,1.0
1018627946_1,5.0
1018627946_2,5.0
1018627946_3,5.0
1018627946_4,10.0
1018628038_1,4.0
1018628038_2,32.0
1018628038_3,15.0
1018628038_4,15.0
1018628396_1,1.0
1018628697_1,1.0
1018628697_2,3.0
1018628697_3,9.0
1018628697_4,1.0
1018628789_1,10.0
1018628789_2,10.0
1018628789_3,9.0
1018628789_4,14.0
1018629380_1,3.0
1018629487_1,1.0
1018629487_2,2.0
1018630247_1,10.0
1018630247_2,10.0
1018630247_3,22.0
1018630311_1,56.0
1018630311_2,36.0
1018630683_1,8.0
1018630683_2,8.0
1018630683_3,7.0
1018630683_4,7.0
1018632060_1,0.0
1018632060_2,0.0
1018632060_3,1.0
1018632060_4,1.0
1018632395_1,4.0
1018632395_2,1.0
1018632395_3,1.0
1018632395_4,0.0
1018633055_1,7.0
1018633055_2,6.0
1018633055_3,2.0
1018633055_4,2.0
1018633055_5,2.0
1018633486_1,0.0
1018633486_2,0.0
1018633486_3,0.0
1018633486_4,0.0
1018634108_1,0.0
1018634108_2,0.0
1018634108_3,0.0
1018634108_4,0.0
1018634490_1,0.0
1018634490_2,0.0
1018634490_3,0.0
1018634490_4,0.0
1018634660_1,12.0
1018634660_2,7.0
1018634660_3,4.0
1018634660_4,6.0
1018634957_1,0.0
1018634957_2,0.0
1018634957_3,0.0
1018634957_4,0.0
1018634976_1,0.0
1018634976_2,0.0
1018634976_3,0.0
1018634976_4,0.0
1018634995_1,0.0
1018634995_2,0.0
1018634995_3,0.0
1018634995_4,0.0
1018635198_1,2.0
1018635198_2,3.0
1018635198_3,2.0
1018635198_4,4.0
1018635558_1,0.0
1018635558_2,0.0
1018635558_3,0.0
1018635596_1,1.0
1018635596_2,0.0
1018635596_3,3.0
1018635596_4,12.0
1018635728_1,48.0
1018635728_2,20.0
1018635728_3,1.0
1018635728_4,4.0
1018635733_1,4.0
1018635733_2,3.0
1018635733_3,1.0
1018635733_4,1.0
1018636289_1,0.0
1018636289_2,0.0
1018636289_3,0.0
1018636289_4,0.0
1018637895_1,17.0
1018637895_2,13.0
1018637895_3,2.0
1018637895_4,2.0
1018637954_1,2.0
1018637954_2,3.0
1018637954_3,1.0
1018637954_4,0.0
1018637954_5,1.0
1018637973_1,0.0
1018637973_2,0.0
1018637973_3,0.0
1018637973_4,0.0
1018638327_1,15.0
1018638327_2,9.0
1018639312_1,4.0
1018639312_2,3.0
1018639312_3,1.0
1018639312_4,2.0
1018639345_1,6.0
1018639345_2,2.0
1018639345_3,4.0
1018639345_4,1.0
1018640987_1,3.0
1018640987_2,6.0
1018640987_3,6.0
1018640987_4,4.0
1018641142_1,2.0
1018641142_2,2.0
1018641142_3,1.0
1018641142_4,0.0
1018641142_5,0.0
1018641365_1,32.0
1018641365_2,10.0
1018641365_3,13.0
1018641365_4,7.0
1018642063_1,0.0
1018642063_2,0.0
1018642063_3,0.0
1018642063_4,0.0
1018643209_1,10.0
1018643209_2,13.0
1018643209_3,4.0
1018643209_4,13.0
1018644116_1,6.0
1018644116_2,6.0
1018644116_3,9.0
1018644116_4,12.0
1018644305_1,10.0
1018644305_2,10.0
1018644305_3,17.0
1018644305_4,10.0
1018644305_5,13.0
1018644343_1,18.0
1018644343_2,17.0
1018644343_3,38.0
1018646448_1,33.0
1018646448_2,52.0
1018646832_1,3.0
1018646832_2,16.0
1018646832_3,15.0
1018646832_4,11.0
1018647092_1,6.0
1018647092_2,4.0
1018647092_3,4.0
1018647092_4,4.0
1018647923_1,31.0
1018647923_2,19.0
1018647923_3,5.0
1018648301_1,30.0
1018648301_2,45.0
1018648301_3,19.0
1018648747_1,34.0
1018648747_2,29.0
1018648747_3,19.0
1018648747_4,25.0
1018649300_1,3.0
1018649300_2,6.0
1018649300_3,5.0
1018649300_4,6.0
1018650471_1,5.0
1018650471_2,5.0
1018650471_3,4.0
1018650471_4,8.0
1018651112_1,7.0
1018651112_2,5.0
1018651112_3,2.0
1018651112_4,1.0
1018651714_1,0.0
1018651714_2,1.0
1018651714_3,5.0
1018651714_4,3.0
1018651859_1,0.0
1018651859_2,0.0
1018651859_3,0.0
1018651859_4,0.0
1018652066_1,0.0
1018652066_2,0.0
1018652066_3,0.0
1018652066_4,0.0
1018652182_1,3.0
1018652182_2,1.0
1018652182_3,5.0
1018652289_1,0.0
1018652289_2,0.0
1018652289_3,0.0
1018652289_4,0.0
1018652426_1,0.0
1018652426_2,0.0
1018652426_3,0.0
1018652426_4,0.0
1018652746_1,42.0
1018652746_2,47.0
1018652746_3,32.0
1018652746_4,3.0
1018652881_1,7.0
1018652881_2,6.0
1018652881_3,11.0
1018652881_4,0.0
1018653430_1,7.0
1018653430_2,3.0
1018654176_1,11.0
1018654176_2,5.0
1018654439_1,10.0
1018654569_1,0.0
1018654569_2,2.0
1018654569_3,2.0
1018654569_4,2.0
1018654725_1,40.0
1018654725_2,34.0
1018654725_3,14.0
1018654725_4,17.0
1018654889_1,0.0
1018654889_2,0.0
1018654889_3,0.0
1018654889_4,0.0
1018656418_1,30.0
1018656418_2,32.0
1018656418_3,31.0
1018656418_4,32.0
1018656650_1,14.0
1018656650_2,13.0
1018656650_3,11.0
1018657004_1,5.0
1018657004_2,9.0
1018657004_3,1.0
1018657004_4,7.0
1018657455_1,4.0
1018657455_2,4.0
1018657455_3,4.0
1018657455_4,4.0
1018658323_1,9.0
1018658323_2,11.0
1018658323_3,11.0
1018659040_1,24.0
1018659040_2,30.0
1018659040_3,28.0
1018659375_1,0.0
1018659375_2,0.0
1018659375_3,0.0
1018659375_4,0.0
1018659676_1,0.0
1018659676_2,0.0
1018659676_3,0.0
1018659676_4,0.0
1018660606_1,0.0
1018660606_2,0.0
1018660606_3,0.0
1018660606_4,0.0
1018660756_1,0.0
1018660756_2,0.0
1018660756_3,0.0
1018660756_4,0.0
1018662619_1,14.0
1018662619_2,13.0
1018662619_3,17.0
1018662619_4,28.0
1018662832_1,12.0
1018662832_2,20.0
1018662870_1,10.0
1018662870_2,10.0
1018662870_3,9.0
1018662870_4,7.0
1018663656_1,8.0
1018663689_1,12.0
1018663689_2,41.0
1018663689_3,9.0
1018663689_4,41.0
1018663689_5,41.0
1018663689_6,6.0
1018663689_7,6.0
1018663772_1,0.0
1018663772_2,0.0
1018663772_3,0.0
1018663772_4,0.0
1018664276_1,4.0
1018664276_2,5.0
1018664276_3,2.0
1018664276_4,1.0
1018664617_1,35.0
1018664617_2,35.0
1018664617_3,20.0
1018665580_1,49.0
1018666390_1,16.0
1018666390_2,12.0
1018666390_3,5.0
1018666745_1,0.0
1018666745_2,0.0
1018666745_3,0.0
1018666745_4,0.0
1018667410_1,13.0
1018667410_2,13.0
1018667410_3,13.0
1018667778_1,31.0
1018667778_2,20.0
1018667778_3,34.0
1018667778_4,33.0
1018668006_1,17.0
1018668006_2,5.0
1018668006_3,4.0
1018668006_4,6.0
1018668011_1,8.0
1018668011_2,16.0
1018668364_1,20.0
1018668364_2,20.0
1018668364_3,17.0
1018668364_4,15.0
1018668796_1,15.0
1018668796_2,10.0
1018668796_3,13.0
1018668796_4,10.0
1018669005_1,7.0
1018670332_1,0.0
1018670332_2,0.0
1018670332_3,0.0
1018670332_4,0.0
1018670628_1,8.0
1018671705_1,0.0
1018671705_2,0.0
1018671705_3,0.0
1018671705_4,0.0
1018672456_1,0.0
1018672456_2,0.0
1018672456_3,0.0
1018672456_4,0.0
1018672820_1,10.0
1018672820_2,5.0
1018674890_1,0.0
1018674890_2,0.0
1018674890_3,0.0
1018674890_4,0.0
1018675400_1,9.0
1018675400_2,16.0
1018675400_3,8.0
1018675400_4,5.0
1018675939_1,0.0
1018675939_2,0.0
1018675939_3,0.0
1018675939_4,0.0
1018676597_1,1.0
1018676597_2,19.0
1018676597_3,9.0
1018676597_4,5.0
1018676622_1,10.0
1018676622_2,20.0
1018676622_3,0.0
1018676845_1,14.0
1018676845_2,14.0
1018676845_3,4.0
1018676845_4,3.0
1018676864_1,52.0
1018677257_1,4.0
1018677257_2,1.0
1018677257_3,5.0
1018677257_4,34.0
1018678028_1,7.0
1018678028_2,3.0
1018678028_3,4.0
1018678028_4,4.0
1018678275_1,1.0
1018678275_2,2.0
1018678275_3,4.0
1018678275_4,14.0
1018679589_1,1.0
1018679589_2,0.0
1018679589_3,0.0
1018679589_4,0.0
1018679726_1,5.0
1018679726_2,5.0
1018679726_3,5.0
1018679726_4,19.0
1018680733_1,1.0
1018680733_2,0.0
1018680733_3,0.0
1018680733_4,0.0
1018681668_1,2.0
1018682804_1,9.0
1018682804_2,9.0
1018682804_3,4.0
1018682804_4,4.0
1018683690_1,1.0
1018683690_2,5.0
1018683690_3,7.0
1018683690_4,2.0
1018683690_5,6.0
1018684914_1,0.0
1018684914_2,0.0
1018684914_3,0.0
1018684914_4,0.0
1018685529_1,0.0
1018685529_2,0.0
1018685529_3,0.0
1018685529_4,0.0
1018685868_1,13.0
1018685868_2,13.0
1018685873_1,0.0
1018685873_2,0.0
1018685873_3,0.0
1018685873_4,0.0
1018686019_1,7.0
1018686019_2,9.0
1018686019_3,12.0
1018686019_4,10.0
1018686019_5,7.0
1018687264_1,0.0
1018687264_2,0.0
1018687264_3,0.0
1018687264_4,0.0
1018687357_1,3.0
1018687357_2,3.0
1018687357_3,5.0
1018687357_4,4.0
1018688619_1,35.0
1018688619_2,31.0
1018688619_3,32.0
1018688619_4,1.0
1018688813_1,1.0
1018688899_1,2.0
1018688899_2,8.0
1018688899_3,8.0
1018688899_4,5.0
1018689700_1,5.0
1018689700_2,3.0
1018689700_3,3.0
1018689700_4,8.0
1018690570_1,2.0
1018690570_2,9.0
1018690570_3,7.0
1018690570_4,7.0
1018691297_1,39.0
1018691297_2,38.0
1018691297_3,26.0
1018691297_4,38.0
1018691375_1,38.0
1018691375_2,2.0
1018691375_3,3.0
1018691375_4,5.0
1018692296_1,7.0
1018692296_2,2.0
1018692296_3,9.0
1018692296_4,8.0
1018692729_1,3.0
1018692729_2,3.0
1018692729_3,2.0
1018692729_4,3.0
1018693034_1,39.0
1018693427_1,10.0
1018693427_2,8.0
1018693427_3,0.0
1018693427_4,2.0
1018694391_1,1.0
1018694391_2,33.0
1018694391_3,8.0
1018694391_4,9.0
1018694407_1,0.0
1018694407_2,0.0
1018694407_3,0.0
1018694407_4,0.0
1018694538_1,42.0
1018694974_1,0.0
1018694974_2,1.0
1018700401_1,11.0
1018700401_2,5.0
1018700401_3,4.0
1018700401_4,5.0
1018701185_1,26.0
1018701185_2,35.0
1018702919_1,6.0
1018702919_2,1.0
1018702919_3,0.0
1018702919_4,4.0
1018703126_1,7.0
1018703126_2,5.0
1018703126_3,1.0
1018703766_1,5.0
1018800636_1,22.0
1018800636_2,6.0
1018800636_3,5.0
1018800636_4,0.0
1018801033_1,38.0
1018801066_1,22.0
1018801464_1,54.0
1018801464_2,7.0
1018801464_3,11.0
1018801988_1,10.0
1018801988_2,1.0
1018801988_3,1.0
1028100042_1,5.0
1028100042_2,5.0
1028100042_3,3.0
1028100042_4,2.0
1028100663_1,12.0
1028100663_2,8.0
1028100663_3,4.0
1028100663_4,4.0
1028100800_1,4.0
1028100800_2,3.0
1028100800_3,3.0
1028100800_4,3.0
1028101245_1,4.0
1028101245_2,1.0
1028101245_3,1.0
1028101245_4,2.0
1028101473_1,2.0
1028101473_2,4.0
1028101473_3,0.0
1028101473_4,1.0
1028101473_5,0.0
1028102263_1,0.0
1028102263_2,1.0
1028102263_3,1.0
1028102263_4,1.0
1028102657_1,2.0
1028102657_2,1.0
1028102657_3,1.0
1028102657_4,2.0
1028103296_1,20.0
1028103296_2,20.0
1028103296_3,5.0
1028103296_4,3.0
1028103786_1,1.0
1028103786_2,2.0
1028103786_3,1.0
1028103786_4,0.0
1028111966_1,7.0
1028111966_2,7.0
1028111966_3,5.0
1028111966_4,5.0
1028112873_1,3.0
1028112873_2,4.0
1028112873_3,0.0
1028112873_4,12.0
1028113120_1,5.0
1028113120_2,5.0
1028113120_3,3.0
1028113120_4,5.0
1028113611_1,5.0
1028113611_2,6.0
1028113611_3,8.0
1028113611_4,4.0
1028119099_1,5.0
1028119099_2,5.0
1028119099_3,6.0
1028119099_4,6.0
1028119589_1,14.0
1028119589_2,16.0
1028119589_3,13.0
1028119589_4,6.0
1028120539_1,6.0
1028120539_2,14.0
1028120539_3,10.0
1028120539_4,0.0
1028121052_1,4.0
1028121052_2,4.0
1028121052_3,5.0
1028121052_4,6.0
1028122750_1,3.0
1028122750_2,3.0
1028122750_3,15.0
1028122750_4,11.0
1028122895_1,2.0
1028122895_2,2.0
1028122895_3,1.0
1028122895_4,0.0
1028122968_1,0.0
1028122968_2,2.0
1028122968_3,2.0
1028122968_4,2.0
1028124535_1,5.0
1028125209_1,4.0
1028125209_2,6.0
1028125209_3,5.0
1028125209_4,9.0
1028126284_1,21.0
1028126284_2,27.0
1028126284_3,38.0
1028126284_4,31.0
1028126630_1,1.0
1028126630_2,2.0
1028126630_3,1.0
1028126630_4,1.0
1028127925_1,5.0
1028127925_2,6.0
1028127925_3,8.0
1028127925_4,7.0
1028129132_1,3.0
1028129132_2,4.0
1028129132_3,11.0
1028129132_4,17.0
1028130395_1,23.0
1028130395_2,26.0
1028130395_3,33.0
1028130395_4,17.0
1028132239_1,4.0
1028132239_2,6.0
1028132239_3,5.0
1028132239_4,4.0
1028132767_1,1.0
1028132767_2,2.0
1028132767_3,0.0
1028132767_4,2.0
1028133219_1,18.0
1028133219_2,17.0
1028133219_3,15.0
1028133223_1,10.0
1028133223_2,28.0
1028133223_3,21.0
1028133223_4,18.0
1028133387_1,12.0
1028133387_2,15.0
1028133387_3,8.0
1028133387_4,10.0
1028133505_1,0.0
1028133505_2,1.0
1028133505_3,2.0
1028133505_4,2.0
1028134616_1,4.0
1028134616_2,2.0
1028134616_3,4.0
1028134616_4,21.0
1028134616_5,4.0
1028136462_1,7.0
1028136462_2,9.0
1028136462_3,10.0
1028136462_4,25.0
1028136588_1,7.0
1028136588_2,5.0
1028136588_3,9.0
1028136588_4,7.0
1028136797_1,12.0
1028136797_2,15.0
1028136797_3,21.0
1028136797_4,19.0
1028136934_1,1.0
1028136934_2,4.0
1028136934_3,18.0
1028137118_1,18.0
1028137118_2,17.0
1028137118_3,19.0
1028137118_4,13.0
1028137118_5,8.0
