회사명,sum_rlt,휴폐업 여부
1018156562_3,10.0,0.0
1018156562_4,14.0,0.0
1018157125_1,13.0,0.0
1018157125_2,6.0,0.0
1018157125_3,8.0,0.0
1018157125_4,3.0,0.0
1018157557_1,18.0,0.0
1018157557_2,19.0,0.0
1018157557_3,21.0,0.0
1018157557_4,23.0,0.0
1018157765_1,4.0,0.0
1018157765_2,5.0,0.0
1018157765_3,5.0,0.0
1018157765_4,6.0,0.0
1018157765_5,6.0,0.0
1018159685_1,13.0,0.0
1018159685_2,15.0,0.0
1018159685_3,14.0,0.0
1018159685_4,27.0,0.0
1018160275_1,0.0,0.0
1018160275_2,0.0,0.0
1018160275_3,1.0,0.0
1018160275_4,2.0,0.0
1018161162_1,2.0,0.0
1018161162_2,1.0,0.0
1018161162_3,1.0,0.0
1018161162_4,1.0,0.0
1018161823_1,4.0,0.0
1018161823_2,3.0,0.0
1018161823_3,6.0,0.0
1018161823_4,4.0,0.0
1018163044_1,8.0,0.0
1018163044_2,8.0,0.0
1018163044_3,5.0,0.0
1018163044_4,10.0,0.0
1018163684_1,23.0,0.0
1018164820_1,3.0,0.0
1018164820_2,10.0,0.0
1018164820_3,0.0,0.0
1018164820_4,1.0,0.0
1018164892_1,13.0,0.0
1018164892_2,13.0,0.0
1018164892_3,13.0,0.0
1018165187_1,1.0,0.0
1018165187_2,1.0,0.0
1018165187_3,12.0,0.0
1018165187_4,8.0,0.0
1018165644_1,0.0,0.0
1018165644_2,5.0,0.0
1018165644_3,0.0,0.0
1018165644_4,2.0,0.0
1018165872_1,2.0,0.0
1018165872_2,1.0,0.0
1018165872_3,4.0,0.0
1018165872_4,1.0,0.0
1018167619_1,3.0,0.0
1018167619_2,2.0,0.0
1018167619_3,2.0,0.0
1018167619_4,2.0,0.0
1018170486_1,3.0,0.0
1018170486_2,2.0,0.0
1018170486_3,3.0,0.0
1018171092_1,1.0,0.0
1018171092_2,6.0,0.0
1018171092_3,5.0,0.0
1018171850_1,11.0,0.0
1018171850_2,10.0,0.0
1018171850_3,3.0,0.0
1018172432_1,6.0,0.0
1018172432_2,3.0,0.0
1018172432_3,2.0,0.0
1018172432_4,0.0,0.0
1018173159_1,7.0,0.0
1018173159_2,4.0,0.0
1018173159_3,4.0,0.0
1018173159_4,4.0,0.0
1018174236_1,3.0,0.0
1018174236_2,1.0,0.0
1018174236_3,0.0,0.0
1018176103_1,1.0,0.0
1018176103_2,9.0,0.0
1018176103_3,2.0,0.0
1018176103_4,26.0,0.0
1018177155_1,7.0,0.0
1018177155_2,7.0,0.0
1018177155_3,11.0,0.0
1018177155_4,11.0,0.0
1018177489_1,3.0,0.0
1018177489_2,4.0,0.0
1018177489_3,8.0,0.0
1018177489_4,6.0,0.0
1018177650_1,1.0,0.0
1018177650_2,0.0,0.0
1018177650_3,0.0,0.0
1018177650_4,0.0,0.0
1018178760_1,8.0,0.0
1018179639_1,13.0,0.0
1018179639_2,13.0,0.0
1018180719_1,2.0,0.0
1018180719_2,0.0,0.0
1018180719_3,2.0,0.0
1018181343_1,0.0,0.0
1018181343_2,2.0,0.0
1018181343_3,2.0,0.0
1018181343_4,2.0,0.0
1018181998_1,3.0,0.0
1018183360_1,18.0,0.0
1018183360_2,23.0,0.0
1018183360_3,13.0,0.0
1018184113_1,8.0,0.0
1018184113_2,8.0,0.0
1018184113_3,1.0,0.0
1018184113_4,3.0,0.0
1018184336_1,13.0,0.0
1018184336_2,13.0,0.0
1018184336_3,0.0,0.0
1018184336_4,18.0,0.0
1018184637_1,10.0,0.0
1018184637_2,10.0,0.0
1018184637_3,16.0,0.0
1018184637_4,11.0,0.0
1018184791_1,2.0,0.0
1018184791_2,2.0,0.0
1018184791_3,2.0,0.0
1018184791_4,0.0,0.0
1018186407_1,4.0,0.0
1018186407_2,5.0,0.0
1018186407_3,5.0,0.0
1018186407_4,1.0,0.0
1018187328_1,2.0,0.0
1018187328_2,1.0,0.0
1018187328_3,1.0,0.0
1018187328_4,2.0,0.0
1018187707_1,13.0,0.0
1018187707_2,13.0,0.0
1018187707_3,13.0,0.0
1018187973_1,6.0,0.0
1018187973_2,2.0,0.0
1018187973_3,4.0,0.0
1018187973_4,1.0,0.0
1018188778_1,5.0,0.0
1018188778_2,5.0,0.0
1018188778_3,1.0,0.0
1018188778_4,1.0,0.0
1018189006_1,12.0,0.0
1018189006_2,17.0,0.0
1018189006_3,12.0,0.0
1018189665_1,4.0,0.0
1018189665_2,5.0,0.0
1018189665_3,6.0,0.0
1018189665_4,3.0,0.0
1018189855_1,50.0,0.0
1018189855_2,49.0,0.0
1018189855_3,48.0,0.0
1018189855_4,36.0,0.0
1018190589_1,1.0,0.0
1018190589_2,2.0,0.0
1018190589_3,23.0,0.0
1018190589_4,16.0,0.0
1018194173_1,1.0,0.0
1018194173_2,10.0,0.0
1018194815_1,4.0,0.0
1018194815_2,4.0,0.0
1018196017_1,2.0,0.0
1018196017_2,2.0,0.0
1018196017_3,6.0,0.0
1018196017_4,3.0,0.0
1018197471_1,0.0,0.0
1018197471_2,3.0,0.0
1018197471_3,5.0,0.0
1018197471_4,7.0,0.0
1018197791_1,7.0,0.0
1018197791_2,13.0,0.0
1018197791_3,25.0,0.0
1018197791_4,30.0,0.0
1018198015_1,14.0,0.0
1018198015_2,3.0,0.0
1018198015_3,5.0,0.0
1018199824_1,20.0,0.0
1018199824_2,8.0,0.0
1018199824_3,8.0,0.0
1018199824_4,2.0,0.0
1018199858_1,2.0,0.0
1018199858_2,1.0,0.0
1018199858_3,1.0,0.0
1018199858_4,1.0,0.0
1018500881_1,4.0,0.0
1018500881_2,4.0,0.0
1018501385_1,3.0,0.0
1018501385_2,4.0,0.0
1018505208_1,13.0,0.0
1018507427_1,2.0,0.0
1018511302_1,1.0,0.0
1018511302_2,2.0,0.0
1018512257_1,7.0,0.0
1018513125_1,18.0,0.0
1018513125_2,17.0,0.0
1018513182_1,26.0,0.0
1018513182_2,3.0,0.0
1018515439_1,11.0,0.0
1018519911_1,9.0,0.0
1018523337_1,34.0,0.0
1018523472_1,40.0,0.0
1018525989_1,56.0,0.0
1018527385_1,17.0,0.0
1018527779_1,5.0,0.0
1018528934_1,1.0,0.0
1018535231_1,12.0,0.0
1018535231_2,10.0,0.0
1018535319_1,2.0,0.0
1018535930_1,15.0,0.0
1018536341_1,25.0,0.0
1018536341_2,28.0,0.0
1018537165_1,37.0,0.0
1018537433_1,8.0,0.0
1018538131_1,41.0,0.0
1018538785_1,3.0,0.0
1018539203_1,7.0,0.0
1018539329_1,50.0,0.0
1018539329_2,37.0,0.0
1018539334_1,50.0,0.0
1018539334_2,37.0,0.0
1018540239_1,33.0,0.0
1018541072_1,11.0,0.0
1018541086_1,11.0,0.0
1018541811_1,3.0,0.0
1018542275_1,19.0,0.0
1018543556_1,7.0,0.0
1018543556_2,2.0,0.0
1018545364_1,19.0,0.0
1018601005_1,16.0,0.0
1018601005_2,1.0,0.0
1018601005_3,34.0,0.0
1018601005_4,34.0,0.0
1018601723_1,9.0,0.0
1018601723_2,14.0,0.0
1018601723_3,16.0,0.0
1018601723_4,11.0,0.0
1018602042_1,9.0,0.0
1018602042_2,16.0,0.0
1018602042_3,16.0,0.0
1018602042_4,9.0,0.0
1018603420_1,0.0,0.0
1018603420_2,0.0,0.0
1018603420_3,5.0,0.0
1018603420_4,2.0,0.0
1018604394_1,4.0,0.0
1018604394_2,3.0,0.0
1018604394_3,0.0,0.0
1018604394_4,1.0,0.0
1018604394_5,1.0,0.0
1018604716_1,3.0,0.0
1018604716_2,5.0,0.0
1018604716_3,2.0,0.0
1018604716_4,0.0,0.0
1018605184_1,2.0,0.0
1018605184_2,4.0,0.0
1018605184_3,2.0,0.0
1018605184_4,0.0,0.0
1018605641_1,3.0,0.0
1018605641_2,3.0,0.0
1018605641_3,3.0,0.0
1018605641_4,3.0,0.0
1018606524_1,24.0,0.0
1018606524_2,12.0,0.0
1018608463_1,0.0,0.0
1018608463_2,1.0,0.0
1018608463_3,3.0,0.0
1018608463_4,1.0,0.0
1018608916_1,8.0,0.0
1018608916_2,2.0,0.0
1018608916_3,6.0,0.0
1018608916_4,6.0,0.0
1018610391_1,21.0,0.0
1018610601_1,10.0,0.0
1018610601_2,10.0,0.0
1018610601_3,10.0,0.0
1018610616_1,4.0,0.0
1018610616_2,3.0,0.0
1018610616_3,0.0,0.0
1018610616_4,16.0,0.0
1018611594_1,0.0,0.0
1018611594_2,4.0,0.0
1018611594_3,13.0,0.0
1018611594_4,13.0,0.0
1018612953_1,6.0,0.0
1018612953_2,4.0,0.0
1018612953_3,8.0,0.0
1018612953_4,12.0,0.0
1018613312_1,2.0,0.0
1018613312_2,0.0,0.0
1018613312_3,0.0,0.0
1018613312_4,4.0,0.0
1018613592_1,6.0,0.0
1018613592_2,2.0,0.0
1018613592_3,7.0,0.0
1018613592_4,6.0,0.0
1018613592_5,2.0,0.0
1018614117_1,7.0,0.0
1018614117_2,5.0,0.0
1018614757_1,3.0,0.0
1018614757_2,3.0,0.0
1018614757_3,1.0,0.0
1018614757_4,7.0,0.0
1018614887_1,5.0,0.0
1018614887_2,4.0,0.0
1018614887_3,5.0,0.0
1018614887_4,4.0,0.0
1018616129_1,4.0,0.0
1018616129_2,7.0,0.0
1018616129_3,3.0,0.0
1018616129_4,3.0,0.0
1018616677_1,2.0,0.0
1018616677_2,3.0,0.0
1018616677_3,1.0,0.0
1018616677_4,0.0,0.0
1018616681_1,4.0,0.0
1018617259_1,7.0,0.0
1018617259_2,6.0,0.0
1018617259_3,5.0,0.0
1018617259_4,25.0,0.0
1018618980_1,12.0,0.0
1018618980_2,21.0,0.0
1018618980_3,7.0,0.0
1018618980_4,7.0,0.0
1018619368_1,2.0,0.0
1018619368_2,3.0,0.0
1018619368_3,1.0,0.0
1018619368_4,0.0,0.0
1018619975_1,3.0,0.0
1018619975_2,14.0,0.0
1018619975_3,9.0,0.0
1018619975_4,7.0,0.0
1018622863_1,3.0,0.0
1018623111_1,1.0,0.0
1018623111_2,1.0,0.0
1018623111_3,3.0,0.0
1018623111_4,2.0,0.0
1018623203_1,20.0,0.0
1018623203_2,3.0,0.0
1018623407_1,5.0,0.0
1018623407_2,8.0,0.0
1018623407_3,6.0,0.0
1018623407_4,5.0,0.0
1018623746_1,6.0,0.0
1018623746_2,9.0,0.0
1018623746_3,9.0,0.0
1018623746_4,3.0,0.0
1018624712_1,1.0,0.0
1018624712_2,1.0,0.0
1018624712_3,0.0,0.0
1018624712_4,0.0,0.0
1018624901_1,10.0,0.0
1018624901_2,11.0,0.0
1018624901_3,16.0,0.0
1018624901_4,15.0,0.0
1018625818_1,3.0,0.0
1018625818_2,3.0,0.0
1018625818_3,4.0,0.0
1018625818_4,6.0,0.0
1018626350_1,5.0,0.0
1018626350_2,5.0,0.0
1018626350_3,6.0,0.0
1018626350_4,4.0,0.0
1018626646_1,2.0,0.0
1018626646_2,2.0,0.0
1018626646_3,2.0,0.0
1018626646_4,5.0,0.0
1018626796_1,23.0,0.0
1018626796_2,8.0,0.0
1018626796_3,6.0,0.0
1018626796_4,9.0,0.0
1018626971_1,1.0,0.0
1018626971_2,1.0,0.0
1018626971_3,1.0,0.0
1018626971_4,1.0,0.0
1018627946_1,5.0,0.0
1018627946_2,5.0,0.0
1018627946_3,5.0,0.0
1018627946_4,10.0,0.0
1018628038_1,4.0,0.0
1018628038_2,32.0,0.0
1018628038_3,15.0,0.0
1018628038_4,15.0,0.0
1018628396_1,1.0,0.0
1018628697_1,1.0,0.0
1018628697_2,3.0,0.0
1018628697_3,9.0,0.0
1018628697_4,1.0,0.0
1018628789_1,10.0,0.0
1018628789_2,10.0,0.0
1018628789_3,9.0,0.0
1018628789_4,14.0,0.0
1018629380_1,3.0,0.0
1018629487_1,1.0,0.0
1018629487_2,2.0,0.0
1018630247_1,10.0,0.0
1018630247_2,10.0,0.0
1018630247_3,22.0,0.0
1018630311_1,56.0,0.0
1018630311_2,36.0,0.0
1018630683_1,8.0,0.0
1018630683_2,8.0,0.0
1018630683_3,7.0,0.0
1018630683_4,7.0,0.0
1018632060_1,0.0,0.0
1018632060_2,0.0,0.0
1018632060_3,1.0,0.0
1018632060_4,1.0,0.0
1018632395_1,4.0,0.0
1018632395_2,1.0,0.0
1018632395_3,1.0,0.0
1018632395_4,0.0,0.0
1018633055_1,7.0,0.0
1018633055_2,6.0,0.0
1018633055_3,2.0,0.0
1018633055_4,2.0,0.0
1018633055_5,2.0,0.0
1018633486_1,0.0,0.0
1018633486_2,0.0,0.0
1018633486_3,0.0,0.0
1018633486_4,0.0,0.0
1018634108_1,0.0,0.0
1018634108_2,0.0,0.0
1018634108_3,0.0,0.0
1018634108_4,0.0,0.0
1018634490_1,0.0,0.0
1018634490_2,0.0,0.0
1018634490_3,0.0,0.0
1018634490_4,0.0,0.0
1018634660_1,12.0,0.0
1018634660_2,7.0,0.0
1018634660_3,4.0,0.0
1018634660_4,6.0,0.0
1018634957_1,0.0,0.0
1018634957_2,0.0,0.0
1018634957_3,0.0,0.0
1018634957_4,0.0,0.0
1018634976_1,0.0,0.0
1018634976_2,0.0,0.0
1018634976_3,0.0,0.0
1018634976_4,0.0,0.0
1018634995_1,0.0,0.0
1018634995_2,0.0,0.0
1018634995_3,0.0,0.0
1018634995_4,0.0,0.0
1018635198_1,2.0,0.0
1018635198_2,3.0,0.0
1018635198_3,2.0,0.0
1018635198_4,4.0,0.0
1018635558_1,0.0,0.0
1018635558_2,0.0,0.0
1018635558_3,0.0,0.0
1018635596_1,1.0,0.0
1018635596_2,0.0,0.0
1018635596_3,3.0,0.0
1018635596_4,12.0,0.0
1018635728_1,48.0,0.0
1018635728_2,20.0,0.0
1018635728_3,1.0,0.0
1018635728_4,4.0,0.0
1018635733_1,4.0,0.0
1018635733_2,3.0,0.0
1018635733_3,1.0,0.0
1018635733_4,1.0,0.0
1018636289_1,0.0,0.0
1018636289_2,0.0,0.0
1018636289_3,0.0,0.0
1018636289_4,0.0,0.0
1018637895_1,17.0,0.0
1018637895_2,13.0,0.0
1018637895_3,2.0,0.0
1018637895_4,2.0,0.0
1018637954_1,2.0,0.0
1018637954_2,3.0,0.0
1018637954_3,1.0,0.0
1018637954_4,0.0,0.0
1018637954_5,1.0,0.0
1018637973_1,0.0,0.0
1018637973_2,0.0,0.0
1018637973_3,0.0,0.0
1018637973_4,0.0,0.0
1018638327_1,15.0,0.0
1018638327_2,9.0,0.0
1018639312_1,4.0,0.0
1018639312_2,3.0,0.0
1018639312_3,1.0,0.0
1018639312_4,2.0,0.0
1018639345_1,6.0,0.0
1018639345_2,2.0,0.0
1018639345_3,4.0,0.0
1018639345_4,1.0,0.0
1018640987_1,3.0,0.0
1018640987_2,6.0,0.0
1018640987_3,6.0,0.0
1018640987_4,4.0,0.0
1018641142_1,2.0,0.0
1018641142_2,2.0,0.0
1018641142_3,1.0,0.0
1018641142_4,0.0,0.0
1018641142_5,0.0,0.0
1018641365_1,32.0,0.0
1018641365_2,10.0,0.0
1018641365_3,13.0,0.0
1018641365_4,7.0,0.0
1018642063_1,0.0,0.0
1018642063_2,0.0,0.0
1018642063_3,0.0,0.0
1018642063_4,0.0,0.0
1018643209_1,10.0,0.0
1018643209_2,13.0,0.0
1018643209_3,4.0,0.0
1018643209_4,13.0,0.0
1018644116_1,6.0,0.0
1018644116_2,6.0,0.0
1018644116_3,9.0,0.0
1018644116_4,12.0,0.0
1018644305_1,10.0,0.0
1018644305_2,10.0,0.0
1018644305_3,17.0,0.0
1018644305_4,10.0,0.0
1018644305_5,13.0,0.0
1018644343_1,18.0,0.0
1018644343_2,17.0,0.0
1018644343_3,38.0,0.0
1018646448_1,33.0,0.0
1018646448_2,52.0,0.0
1018646832_1,3.0,0.0
1018646832_2,16.0,0.0
1018646832_3,15.0,0.0
1018646832_4,11.0,0.0
1018647092_1,6.0,0.0
1018647092_2,4.0,0.0
1018647092_3,4.0,0.0
1018647092_4,4.0,0.0
1018647923_1,31.0,0.0
1018647923_2,19.0,0.0
1018647923_3,5.0,0.0
1018648301_1,30.0,0.0
1018648301_2,45.0,0.0
1018648301_3,19.0,0.0
1018648747_1,34.0,0.0
1018648747_2,29.0,0.0
1018648747_3,19.0,0.0
1018648747_4,25.0,0.0
1018649300_1,3.0,0.0
1018649300_2,6.0,0.0
1018649300_3,5.0,0.0
1018649300_4,6.0,0.0
1018650471_1,5.0,0.0
1018650471_2,5.0,0.0
1018650471_3,4.0,0.0
1018650471_4,8.0,0.0
1018651112_1,7.0,0.0
1018651112_2,5.0,0.0
1018651112_3,2.0,0.0
1018651112_4,1.0,0.0
1018651714_1,0.0,0.0
1018651714_2,1.0,0.0
1018651714_3,5.0,0.0
1018651714_4,3.0,0.0
1018651859_1,0.0,0.0
1018651859_2,0.0,0.0
1018651859_3,0.0,0.0
1018651859_4,0.0,0.0
1018652066_1,0.0,0.0
1018652066_2,0.0,0.0
1018652066_3,0.0,0.0
1018652066_4,0.0,0.0
1018652182_1,3.0,0.0
1018652182_2,1.0,0.0
1018652182_3,5.0,0.0
1018652289_1,0.0,0.0
1018652289_2,0.0,0.0
1018652289_3,0.0,0.0
1018652289_4,0.0,0.0
1018652426_1,0.0,0.0
1018652426_2,0.0,0.0
1018652426_3,0.0,0.0
1018652426_4,0.0,0.0
1018652746_1,42.0,0.0
1018652746_2,47.0,0.0
1018652746_3,32.0,0.0
1018652746_4,3.0,0.0
1018652881_1,7.0,0.0
1018652881_2,6.0,0.0
1018652881_3,11.0,0.0
1018652881_4,0.0,0.0
1018653430_1,7.0,0.0
1018653430_2,3.0,0.0
1018654176_1,11.0,0.0
1018654176_2,5.0,0.0
1018654439_1,10.0,0.0
1018654569_1,0.0,0.0
1018654569_2,2.0,0.0
1018654569_3,2.0,0.0
1018654569_4,2.0,0.0
1018654725_1,40.0,0.0
1018654725_2,34.0,0.0
1018654725_3,14.0,0.0
1018654725_4,17.0,0.0
1018654889_1,0.0,0.0
1018654889_2,0.0,0.0
1018654889_3,0.0,0.0
1018654889_4,0.0,0.0
1018656418_1,30.0,0.0
1018656418_2,32.0,0.0
1018656418_3,31.0,0.0
1018656418_4,32.0,0.0
1018656650_1,14.0,0.0
1018656650_2,13.0,0.0
1018656650_3,11.0,0.0
1018657004_1,5.0,0.0
1018657004_2,9.0,0.0
1018657004_3,1.0,0.0
1018657004_4,7.0,0.0
1018657455_1,4.0,0.0
1018657455_2,4.0,0.0
1018657455_3,4.0,0.0
1018657455_4,4.0,0.0
1018658323_1,9.0,0.0
1018658323_2,11.0,0.0
1018658323_3,11.0,0.0
1018659040_1,24.0,0.0
1018659040_2,30.0,0.0
1018659040_3,28.0,0.0
1018659375_1,0.0,0.0
1018659375_2,0.0,0.0
1018659375_3,0.0,0.0
1018659375_4,0.0,0.0
1018659676_1,0.0,0.0
1018659676_2,0.0,0.0
1018659676_3,0.0,0.0
1018659676_4,0.0,0.0
1018660606_1,0.0,0.0
1018660606_2,0.0,0.0
1018660606_3,0.0,0.0
1018660606_4,0.0,0.0
1018660756_1,0.0,0.0
1018660756_2,0.0,0.0
1018660756_3,0.0,0.0
1018660756_4,0.0,0.0
1018662619_1,14.0,0.0
1018662619_2,13.0,0.0
1018662619_3,17.0,0.0
1018662619_4,28.0,0.0
1018662832_1,12.0,0.0
1018662832_2,20.0,0.0
1018662870_1,10.0,0.0
1018662870_2,10.0,0.0
1018662870_3,9.0,0.0
1018662870_4,7.0,0.0
1018663656_1,8.0,0.0
1018663689_1,12.0,0.0
1018663689_2,41.0,0.0
1018663689_3,9.0,0.0
1018663689_4,41.0,0.0
1018663689_5,41.0,0.0
1018663689_6,6.0,0.0
1018663689_7,6.0,0.0
1018663772_1,0.0,0.0
1018663772_2,0.0,0.0
1018663772_3,0.0,0.0
1018663772_4,0.0,0.0
1018664276_1,4.0,0.0
1018664276_2,5.0,0.0
1018664276_3,2.0,0.0
1018664276_4,1.0,0.0
1018664617_1,35.0,0.0
1018664617_2,35.0,0.0
1018664617_3,20.0,0.0
1018665580_1,49.0,0.0
1018666390_1,16.0,0.0
1018666390_2,12.0,0.0
1018666390_3,5.0,0.0
1018666745_1,0.0,0.0
1018666745_2,0.0,0.0
1018666745_3,0.0,0.0
1018666745_4,0.0,0.0
1018667410_1,13.0,0.0
1018667410_2,13.0,0.0
1018667410_3,13.0,0.0
1018667778_1,31.0,0.0
1018667778_2,20.0,0.0
1018667778_3,34.0,0.0
1018667778_4,33.0,0.0
1018668006_1,17.0,0.0
1018668006_2,5.0,0.0
1018668006_3,4.0,0.0
1018668006_4,6.0,0.0
